001,0,x,0,0
002,x,0,0,0
003,0,0,0,x
004,x,0,x,0
005,0,x,0,0
006,x,0,0,0
007,x,0,0,0
008,x,0,0,0
009,0,x,0,0
010,0,x,0,0
011,0,x,0,0
012,0,0,x,x
013,0,0,0,x
014,0,0,0,x
015,0,0,x,0
016,0,0,0,x
017,x,0,0,0
018,x,0,0,0
019,x,0,0,0
020,0,x,0,0
021,0,0,0,x
022,0,x,0,0
023,0,x,0,0
024,0,x,0,0
025,x,0,0,0
026,0,0,0,x
027,0,0,0,0
028,x,0,0,0
029,x,0,0,0
030,0,0,0,0
031,0,0,0,0
032,0,x,0,0
033,x,0,0,0
034,0,0,0,0
035,0,0,x,0
036,0,x,0,0
037,0,x,0,0
038,x,0,0,0
039,0,x,x,0
040,x,x,0,0
041,x,0,0,0
042,x,0,x,0
043,0,0,0,x
044,0,x,0,0
045,0,x,0,0
046,0,0,x,x
047,0,0,x,0
048,x,0,0,0
049,0,x,0,0
050,0,0,0,0
051,0,0,x,x
052,0,x,x,0
053,x,0,0,0
054,0,x,0,0
055,x,0,0,0
056,0,0,x,0
057,0,0,0,0
058,0,0,x,0
059,0,x,0,0
060,0,0,x,x
061,0,0,0,0
062,0,x,0,0
063,0,0,0,0
064,0,x,0,0
065,0,x,0,0
066,0,x,0,0
067,x,0,0,0
068,0,x,0,0
069,x,0,0,0
070,0,0,0,x
071,0,0,0,0
072,0,0,0,0
073,x,0,0,0
074,0,0,0,x
075,0,x,0,0
076,0,x,0,0
077,0,x,0,0
078,0,0,x,0
079,x,0,0,0
080,0,x,0,0
081,0,0,x,0
082,0,0,0,x
083,0,0,x,0
084,0,0,x,0
085,0,0,0,0
086,0,0,0,0
087,x,0,0,0
088,0,0,0,x
089,0,0,x,x
090,0,0,x,0
091,0,0,x,x
092,0,0,0,x
093,0,x,0,0
094,0,0,x,x
095,0,x,0,0
096,0,x,0,0
097,0,0,x,0
098,0,0,x,0
099,x,0,x,0
100,x,0,0,0
101,0,0,0,x
102,0,x,0,0
103,0,x,0,0
104,0,0,0,0
105,0,0,0,x
106,x,0,0,0
107,x,0,0,0
108,x,0,0,0
109,x,0,x,0
110,0,0,0,0
111,0,0,0,0
112,x,0,0,0
113,0,0,0,x
114,x,0,x,0
115,x,0,0,0
116,0,0,x,0
117,0,x,0,0
118,0,x,0,0
119,x,0,0,0
120,0,x,0,0
121,0,0,0,x
122,x,0,0,0
